fraction,rf_f1,cnn_f1
0.1,0.3738761238761239,0.16652046783625732
0.25,0.45311990876507,0.2311111111111111
0.5,0.48522769865067467,0.3647467131818706
0.75,0.5500575109270761,0.4216734143049932
1.0,0.5007168458781361,0.5359195402298851
